Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
United States,USA,1961-01-01,563300000000,2.29999999999959,13.7082837473334,4.02982424995562,4.8996982069945,183691000
United States,USA,1962-01-01,605100000000,6.10000000000004,13.8726149993924,4.13154850437944,4.8091224590976704,186538000
United States,USA,1963-01-01,638600000000,4.40000000000001,14.0445895655005,4.08706545568431,4.87002818665832,189242000
United States,USA,1964-01-01,685800000000,5.80000000000027,14.2242074456579,4.09740449110528,5.10352872557597,191889000
United States,USA,1965-01-01,743700000000,6.39999999999968,14.4496852101109,4.23557886244453,4.98857066021245,194303000
United States,USA,1966-01-01,815000000000,6.50000000000033,14.8853541109182,4.5521472392638,5.01840490797546,196560000
United States,USA,1967-01-01,861700000000,2.49999999999997,15.2980930695779,4.63038180341186,5.04816061274225,198712000
United States,USA,1968-01-01,942500000000,4.7999999999997,15.9515964207889,4.94429708222812,5.08222811671088,200706000
United States,USA,1969-01-01,1019900000000,3.10000000000004,16.8229342224036,4.95146582998333,5.08873418962643,202677000
United States,USA,1970-01-01,1075884000000,0.186045636370451,17.8051000777325,5.18271486517134,5.54985481706206,205052000
United States,USA,1971-01-01,1167770000000,3.29547672836176,18.5694314826577,5.33855125581236,5.39181516908295,207661000
United States,USA,1972-01-01,1282449000000,5.26326277619982,19.1770749495732,5.78705274049884,5.52411830801849,209896000
United States,USA,1973-01-01,1428549000000,5.64312484755203,20.3617886272073,6.38123018531391,6.66900470337384,211909000
United States,USA,1974-01-01,1548825000000,-0.51715456222523,22.612744614712,8.22978709667006,8.17723112682195,213854000
United States,USA,1975-01-01,1688923000000,-0.197678536519447,24.6802610650347,7.26670191595472,8.21274859777503,215973000
United States,USA,1976-01-01,1877587000000,5.38609005075547,26.0980958211709,8.05001312855276,7.96314631492442,218035000
United States,USA,1977-01-01,2085951000000,4.60859740653179,27.7949115401049,8.74627448104006,7.63920149610418,220239000
United States,USA,1978-01-01,2356571000000,5.5616849289446,29.9159311887723,9.00677297649848,7.93037850334236,222585000
United States,USA,1979-01-01,2632143000000,3.17569075012061,33.2828110274678,9.59959242335998,8.74302801937433,225055000
United States,USA,1980-01-01,2862505000000,-0.244596225208085,37.7923663165265,10.2647506292565,9.80864662245131,227225000
United States,USA,1981-01-01,3210956000000,2.59447038823151,41.6980997956942,9.89608702205823,9.50617199363679,229466000
United States,USA,1982-01-01,3344991000000,-1.91089106804856,44.254788345169,9.06379120302566,8.46665955155036,231664000
United States,USA,1983-01-01,3638137000000,4.63245718120484,45.6764447583299,9.0331397635658,7.61367700006899,233792000
United States,USA,1984-01-01,4040693000000,7.25908695936059,47.6407764689876,10.025681238342,7.48344405278995,235825000
United States,USA,1985-01-01,4346734000000,4.23873752083914,49.3299488738723,9.59865499016043,6.97555912094,237924000
United States,USA,1986-01-01,4590155000000,3.5116144990922,50.2662548449057,9.86605027499071,6.99322789753287,240133000
United States,USA,1987-01-01,4870217000000,3.46174769185008,52.1082935307754,10.4454072580339,7.47284977240234,242289000
United States,USA,1988-01-01,5252629000000,4.20397197941298,54.2331348364675,10.5469661002138,8.46435185123488,244499000
United States,USA,1989-01-01,5657693000000,3.68052403304713,56.8509698983363,10.4465194558984,8.91336804595089,246819000
United States,USA,1990-01-01,5979589000000,1.91937029742549,59.919760489111,10.5313090916449,9.22929652857412,249623000
United States,USA,1991-01-01,6174043000000,-0.0740845307123976,62.4573407534626,10.099492342376,9.63601970378243,252981000
United States,USA,1992-01-01,6539299000000,3.55539614766758,64.3490609806525,10.211996729313,9.68074712595341,256514000
